split,top_k_tags_per_day,days,selected_alerts,alerts_per_day,tag_day_prevalence,precision_at_k,recall_at_k,lift_vs_random,positives_captured,total_positives
test,3,30,90,3.0,0.3251968503937008,1.0,0.2179176755447942,3.0750605326876514,90,413
test,5,30,150,5.0,0.3251968503937008,0.9933333333333333,0.36077481840193704,3.0545601291364,149,413
test,10,30,300,10.0,0.3251968503937008,0.9633333333333334,0.6997578692493946,2.962308313155771,289,413
test,15,30,450,15.0,0.3251968503937008,0.8133333333333334,0.8861985472154964,2.501049233252623,366,413
test,20,30,600,20.0,0.3251968503937008,0.675,0.9806295399515739,2.075665859564165,405,413
