Id,Tag,Fim,target_4h,split,score,threshold,prediction
120839341,CA5926,2025-06-02 21:00:00+00:00,0,test,0.38051034453289384,0.3788576768561717,1
121070096,CA5926,2025-06-06 13:00:00+00:00,0,test,0.723177415418757,0.3788576768561717,1
121084773,CA5926,2025-06-06 17:00:00+00:00,0,test,0.47861455077103016,0.3788576768561717,1
121096979,CA5926,2025-06-06 21:25:17+00:00,0,test,0.37999709295434514,0.3788576768561717,1
121351412,CA5926,2025-06-10 16:00:00+00:00,0,test,0.6437576908589328,0.3788576768561717,1
121363684,CA5926,2025-06-10 20:00:00+00:00,0,test,0.4359423691357102,0.3788576768561717,1
121373817,CA5926,2025-06-11 00:00:00+00:00,0,test,0.4494050486962085,0.3788576768561717,1
121384100,CA5926,2025-06-11 04:00:00+00:00,0,test,0.41565313507976304,0.3788576768561717,1
121395234,CA5926,2025-06-11 08:00:00+00:00,0,test,0.3917313451456703,0.3788576768561717,1
121405227,CA5926,2025-06-11 12:00:00+00:00,0,test,0.3988835944452361,0.3788576768561717,1
121454416,CA5926,2025-06-12 04:39:27+00:00,0,test,0.7380632228426763,0.3788576768561717,1
121491504,CA5926,2025-06-12 18:54:34+00:00,0,test,0.38015127114189295,0.3788576768561717,1
121502649,CA5926,2025-06-12 23:00:00+00:00,0,test,0.3930212427139718,0.3788576768561717,1
121730338,CA5926,2025-06-16 12:00:00+00:00,1,test,0.5905208466254123,0.3788576768561717,1
121753479,CA5926,2025-06-16 16:00:00+00:00,1,test,0.6605183333580577,0.3788576768561717,1
121820153,CA5926,2025-06-16 20:00:00+00:00,0,test,0.8094407126270591,0.3788576768561717,1
121839885,CA5926,2025-06-17 00:00:00+00:00,1,test,0.6360585257251493,0.3788576768561717,1
121853934,CA5926,2025-06-17 04:00:00+00:00,0,test,0.7920085428687297,0.3788576768561717,1
121861769,CA5926,2025-06-17 08:00:00+00:00,1,test,0.6520651236762314,0.3788576768561717,1
121876746,CA5926,2025-06-17 12:00:00+00:00,0,test,0.8174371705125095,0.3788576768561717,1
121902171,CA5926,2025-06-17 16:00:00+00:00,0,test,0.6032254280195042,0.3788576768561717,1
121924093,CA5926,2025-06-17 20:00:00+00:00,0,test,0.40466764229020474,0.3788576768561717,1
122428671,CA5926,2025-06-18 00:00:00+00:00,1,test,0.40986140623761536,0.3788576768561717,1
122988706,CA5926,2025-06-18 04:00:00+00:00,1,test,0.7607409789075134,0.3788576768561717,1
123003568,CA5926,2025-06-18 08:00:00+00:00,1,test,0.7843882340336812,0.3788576768561717,1
123014814,CA5926,2025-06-18 12:00:00+00:00,0,test,0.6613851638481381,0.3788576768561717,1
