threshold,recall,precision,f1,auc_pr,auc_roc,predicted_positive_rate,false_positive,false_negative
0.00014364128852466078,1.0,0.12809159228028086,0.22709431247752046,0.2889818392562605,0.7507654776939348,1.0,49425,0
0.0001777940501164875,1.0,0.12927749884271622,0.2289561227868258,0.2889818392562605,0.7507654776939348,0.9908266591398229,48905,0
0.00018326046486486349,1.0,0.1319558027114455,0.23314656348836835,0.2889818392562605,0.7507654776939348,0.9707158734078961,47765,0
0.00018821673213918164,1.0,0.13336394526586465,0.23534178199850905,0.2889818392562605,0.7507654776939348,0.9604664291006598,47184,0
0.00029868190620236144,1.0,0.13481497985480606,0.23759816753926702,0.2889818392562605,0.7507654776939348,0.9501287795928448,46598,0
0.0003310718912954039,1.0,0.13621355944921773,0.23976753017319663,0.2889818392562605,0.7507654776939348,0.9403732844088487,46045,0
0.00034297893107141227,1.0,0.13762580791902804,0.24195268243918694,0.2889818392562605,0.7507654776939348,0.930723635465547,45498,0
0.00035439111114988385,1.0,0.13894257448477773,0.24398521505376344,0.2889818392562605,0.7507654776939348,0.9219031154076844,44998,0
0.00035514696400360814,1.0,0.14049107056478918,0.24636943539630837,0.2889818392562605,0.7507654776939348,0.9117418763010267,44422,0
0.0007666052477760805,1.0,0.14232231761339134,0.249180665419791,0.2889818392562605,0.7507654776939348,0.9000105846240695,43757,0
0.0009806198083820569,1.0,0.1439047109419902,0.2516026196333899,0.2889818392562605,0.7507654776939348,0.8901139611191475,43196,0
0.001009030017424582,1.0,0.14556061183168614,0.254129917401652,0.2889818392562605,0.7507654776939348,0.8799880040927213,42622,0
0.0010465122185851995,1.0,0.1472341633546922,0.2566767414320307,0.2889818392562605,0.7507654776939348,0.8699855343471051,42055,0
0.0011588445442646765,1.0,0.14874221566699442,0.25896535121351,0.2889818392562605,0.7507654776939348,0.8611650142892425,41555,0
0.002995179933116503,1.0,0.15069630367557021,0.2619219392540221,0.2889818392562605,0.7507654776939348,0.8499982358959884,40922,0
0.0038691078441697,0.9993113896157554,0.15238575268817203,0.2644459427446836,0.2889818392562605,0.7507654776939348,0.8399957661503722,40360,5
0.004178925533629767,0.9991736675389065,0.15420093944610938,0.26716995028539864,0.2889818392562605,0.7507654776939348,0.829993296404756,39794,6
0.004431671363918054,0.9972455584630217,0.15578073232649198,0.2694676516011388,0.2889818392562605,0.7507654776939348,0.8199908266591398,39241,20
0.0047163380317004995,0.9957306156176835,0.15746488075792225,0.2719271851963292,0.2889818392562605,0.7507654776939348,0.8099883569135237,38685,31
0.005021082874734635,0.9939402286186476,0.1591435312796313,0.27435848697966164,0.2889818392562605,0.7507654776939348,0.8000035282080231,38132,44
0.005448048049398374,0.9917366753890648,0.16079044322875963,0.2767167505668063,0.2889818392562605,0.7507654776939348,0.7900539815827541,37584,60
0.006056373150832283,0.9903594546205757,0.16263711410154924,0.27939233817701453,0.2889818392562605,0.7507654776939348,0.7799985887167907,37024,70
0.007199989278077623,0.98980856631318,0.16465440216270705,0.2823413867609507,0.2889818392562605,0.7507654776939348,0.7700137600112903,36462,74
0.008943561133888717,0.9889822338520865,0.16668601007404657,0.2852886257995312,0.2889818392562605,0.7507654776939348,0.7599936492255583,35900,80
0.012005368713969417,0.9877427351604462,0.16869737027802606,0.2881767955801105,0.2889818392562605,0.7507654776939348,0.7499911794799421,35342,89
0.01560909599857022,0.9877427351604462,0.17067250487839702,0.2910537102043301,0.2889818392562605,0.7507654776939348,0.7413117877430053,34850,89
0.017305612994952015,0.9877427351604462,0.17321161184369416,0.29473770727597753,0.2889818392562605,0.7507654776939348,0.7304449070317186,34234,89
0.03054615363151748,0.9877427351604462,0.17560784505766264,0.2981996590578354,0.2889818392562605,0.7507654776939348,0.7204777193663339,33669,89
0.03580606513690361,0.9862277923151082,0.17788210745957225,0.30140157414032576,0.2889818392562605,0.7507654776939348,0.7101753519387503,33096,100
0.04795972761990647,0.9786530780884176,0.17908266129032258,0.3027630429688332,0.2889818392562605,0.7507654776939348,0.6999964717919769,32574,155
0.05159709253738368,0.9716292521691227,0.1803748114437655,0.3042653210850908,0.2889818392562605,0.7507654776939348,0.6899940020463606,32058,206
0.054283351833131765,0.9669467015562595,0.1821412820712377,0.3065403422982885,0.2889818392562605,0.7507654776939348,0.6800091733408602,31526,240
0.05708628653177992,0.9633659275581876,0.18418073145685773,0.3092396109637489,0.2889818392562605,0.7507654776939348,0.6699890625551282,30984,266
0.05978545814467438,0.9560666574851949,0.185550477106888,0.3107847965259435,0.2889818392562605,0.7507654776939348,0.6600042338496278,30471,319
0.06275892956269168,0.9516595510260295,0.1875373174835803,0.31332895005327954,0.2889818392562605,0.7507654776939348,0.6500017641040116,29936,351
0.06541129952911671,0.9438093926456411,0.18889715813556052,0.3147909967845659,0.2889818392562605,0.7507654776939348,0.6399992943583954,29426,408
0.06859050847762163,0.9348574576504614,0.19007616487455198,0.3159192981639634,0.2889818392562605,0.7507654776939348,0.6299968246127792,28924,473
0.07237322688228677,0.9279713538080154,0.19172001707212974,0.31778521907277274,0.2889818392562605,0.7507654776939348,0.6199943548671629,28407,523
0.07670494357202996,0.9210852499655695,0.19341218658723502,0.3196940726577438,0.2889818392562605,0.7507654776939348,0.6100095261616625,27891,573
0.082419404451601,0.9128219253546344,0.19487239797718453,0.32117849441523516,0.2889818392562605,0.7507654776939348,0.6000070564160462,27384,633
0.08775870246356245,0.9035945462057567,0.19617282104948422,0.32236033999901736,0.2889818392562605,0.7507654776939348,0.5900045866704301,26884,700
0.09495312677431929,0.8949180553642749,0.19763975910943488,0.32377488228406287,0.2889818392562605,0.7507654776939348,0.5800021169248138,26380,763
0.10236025753412725,0.8837625671395125,0.19860109560211692,0.3243202264227231,0.2889818392562605,0.7507654776939348,0.5699996471791977,25894,844
0.10911814271606585,0.8753615204517284,0.20022681451612903,0.3259069350083323,0.2889818392562605,0.7507654776939348,0.5599971774335815,25388,905
0.11635870061734879,0.8643437543038149,0.20130224203739935,0.326551849732036,0.2889818392562605,0.7507654776939348,0.5499947076879653,24901,985
0.12417329530556279,0.8536014323095993,0.2024828487422411,0.3273216973409733,0.2889818392562605,0.7507654776939348,0.5399922379423491,24412,1063
0.1354217172722499,0.8429968323922324,0.2037141811162512,0.32813337621957755,0.2889818392562605,0.7507654776939348,0.5300603323571957,23926,1140
0.14735654460683892,0.8330808428591103,0.205210842351664,0.32930480701181336,0.2889818392562605,0.7507654776939348,0.5200049394912324,23428,1212
0.15711778126802964,0.823440297479686,0.20681425112417848,0.33059633407978767,0.2889818392562605,0.7507654776939348,0.5100024697456162,22931,1282
0.16793435094316103,0.8157278611761465,0.208975761210881,0.33271542523311987,0.2889818392562605,0.7507654776939348,0.5,22420,1338
0.1802228521655894,0.8077399807189093,0.2111535138248848,0.33478893740902477,0.2889818392562605,0.7507654776939348,0.4899975302543838,21911,1396
0.1916057314948724,0.7992012119542763,0.2132750192950862,0.3366985784740354,0.2889818392562605,0.7507654776939348,0.4799950605087676,21406,1458
0.20282217668487784,0.7888720561906074,0.21499887395841152,0.33790520012978204,0.2889818392562605,0.7507654776939348,0.4699925907631514,20914,1533
0.21488359705283155,0.7803332874259744,0.2172879275962571,0.33992260851306355,0.2889818392562605,0.7507654776939348,0.4600077620576509,20410,1595
0.2264262692392773,0.7697286875086077,0.21909914147947784,0.3411046689044858,0.2889818392562605,0.7507654776939348,0.45000529231203473,19920,1672
