Id,Tag,Fim,target_4h,split,score,threshold,prediction
120817707,CA5926,2025-06-02 17:23:53+00:00,0,test,0.18109077389859177,0.1802228521655894,1
120841013,CA5926,2025-06-02 22:00:00+00:00,0,test,0.18532029250090892,0.1802228521655894,1
121235492,CA5926,2025-06-08 21:17:40+00:00,0,test,0.18339404996673156,0.1802228521655894,1
121417781,CA5926,2025-06-11 15:48:03+00:00,0,test,0.1832321659751449,0.1802228521655894,1
121432602,CA5926,2025-06-11 20:55:50+00:00,0,test,0.18179593689184148,0.1802228521655894,1
121497207,CA5926,2025-06-12 21:00:00+00:00,0,test,0.1804174664129311,0.1802228521655894,1
121897419,CA5926,2025-06-17 13:43:46+00:00,0,test,0.18283636287355007,0.1802228521655894,1
122988120,CA5926,2025-06-17 21:18:22+00:00,0,test,0.1817918486620663,0.1802228521655894,1
123216414,CA5926,2025-06-20 06:50:39+00:00,1,test,0.18221019677787287,0.1802228521655894,1
123231641,CA5926,2025-06-20 11:08:51+00:00,0,test,0.18088303513404616,0.1802228521655894,1
123368880,CA5926,2025-06-22 11:30:28+00:00,0,test,0.18164863635073863,0.1802228521655894,1
123377950,CA5926,2025-06-22 16:00:00+00:00,0,test,0.2112528209386446,0.1802228521655894,1
123420122,CA5926,2025-06-23 06:18:01+00:00,1,test,0.18029780830376368,0.1802228521655894,1
123445365,CA5926,2025-06-23 15:23:48+00:00,0,test,0.18171400928300008,0.1802228521655894,1
123508849,CA5926,2025-06-24 14:13:41+00:00,1,test,0.18918568779865308,0.1802228521655894,1
124079799,CA5926,2025-06-26 13:00:00+00:00,1,test,0.19912573121165114,0.1802228521655894,1
120810145,CA5927,2025-06-02 15:00:00+00:00,1,test,0.3331529417560409,0.1802228521655894,1
120834128,CA5927,2025-06-02 19:00:00+00:00,0,test,0.38318170891268494,0.1802228521655894,1
120842282,CA5927,2025-06-02 23:00:00+00:00,0,test,0.40238443090424714,0.1802228521655894,1
120854209,CA5927,2025-06-03 03:00:00+00:00,0,test,0.35011636245963557,0.1802228521655894,1
120863849,CA5927,2025-06-03 07:00:00+00:00,0,test,0.3995806368402254,0.1802228521655894,1
120874188,CA5927,2025-06-03 11:00:00+00:00,0,test,0.42268322813290476,0.1802228521655894,1
120885392,CA5927,2025-06-03 15:00:00+00:00,0,test,0.43059372566313725,0.1802228521655894,1
120893196,CA5927,2025-06-03 19:00:00+00:00,0,test,0.46023969549321975,0.1802228521655894,1
124026178,CA5927,2025-06-03 23:00:00+00:00,0,test,0.46947838828168253,0.1802228521655894,1
124026200,CA5927,2025-06-04 03:00:00+00:00,0,test,0.4669338239378239,0.1802228521655894,1
124026211,CA5927,2025-06-04 07:00:00+00:00,0,test,0.41071271337344606,0.1802228521655894,1
120935134,CA5927,2025-06-04 11:00:00+00:00,0,test,0.4402152318951192,0.1802228521655894,1
120945084,CA5927,2025-06-04 15:00:00+00:00,0,test,0.43409559859463576,0.1802228521655894,1
120955007,CA5927,2025-06-04 19:00:00+00:00,0,test,0.4094049038982218,0.1802228521655894,1
120965183,CA5927,2025-06-04 23:00:00+00:00,0,test,0.47030420554681757,0.1802228521655894,1
120975175,CA5927,2025-06-05 03:00:00+00:00,1,test,0.44584736254918117,0.1802228521655894,1
120988608,CA5927,2025-06-05 07:00:00+00:00,0,test,0.3737197828341114,0.1802228521655894,1
120997292,CA5927,2025-06-05 11:00:00+00:00,0,test,0.4064123271190457,0.1802228521655894,1
121008225,CA5927,2025-06-05 15:00:00+00:00,1,test,0.4126212403222791,0.1802228521655894,1
121020531,CA5927,2025-06-05 19:00:00+00:00,0,test,0.46042125466454575,0.1802228521655894,1
121031313,CA5927,2025-06-05 23:00:00+00:00,1,test,0.47204571349366586,0.1802228521655894,1
121042057,CA5927,2025-06-06 03:00:00+00:00,0,test,0.3616836394284765,0.1802228521655894,1
121055462,CA5927,2025-06-06 07:00:00+00:00,1,test,0.34861065582343437,0.1802228521655894,1
121066902,CA5927,2025-06-06 11:00:00+00:00,0,test,0.3637195197520521,0.1802228521655894,1
