candidate,fit_seconds,threshold,learning_rate,max_iter,max_leaf_nodes,min_samples_leaf,l2_regularization,class_weight,train_threshold,train_recall,train_precision,train_f1,train_auc_pr,train_auc_roc,val_threshold,val_recall,val_precision,val_f1,val_auc_pr,val_auc_roc,test_threshold,test_recall,test_precision,test_f1,test_auc_pr,test_auc_roc
hist_gbdt_tuned_02,3.973,0.1802228521655894,0.04,350,15,80,1.0,balanced,0.1802228521655894,0.995477660733745,0.2988604143947655,0.4597081271492074,0.632810099318294,0.8793537083949026,0.1802228521655894,0.8077399807189093,0.2111535138248848,0.33478893740902477,0.2889818392562605,0.7507654776939348,0.1802228521655894,0.8138987043580683,0.2706937752183962,0.4062674545080401,0.2736169855404683,0.742812757358987
hist_gbdt_tuned_06,2.975,0.2292101257812594,0.06,260,11,100,2.5,balanced,0.2292101257812594,0.9889030148928442,0.31004401623988564,0.4720800079765213,0.6127134665012115,0.8688722657756557,0.2292101257812594,0.8089794794105495,0.211477534562212,0.3353026800239747,0.28842399618356224,0.7543254756514404,0.2292101257812594,0.812603062426384,0.2701147175130183,0.4054538509006494,0.2681403287987133,0.7466497396714452
hist_gbdt_tuned_01,5.004,0.14074897081087234,0.035,450,15,80,1.0,balanced,0.14074897081087234,0.9984562295677443,0.2894426484989523,0.44878650089389943,0.6438116536069989,0.8823132181521723,0.14074897081087234,0.8070513703346647,0.21536991436656988,0.3400058021467943,0.2881507052705937,0.7476497988818807,0.14074897081087234,0.8108362779740872,0.27396824133402314,0.4095546895915757,0.27745817689888286,0.7417986125015527
hist_gbdt_tuned_03,3.738,0.1479048553809928,0.05,320,15,120,2.0,balanced,0.1479048553809928,0.9972030512168544,0.2913882682601935,0.4509936793859271,0.6471354411017565,0.8826641096788187,0.1479048553809928,0.8073268144883625,0.2110455069124424,0.3346176898707081,0.2473904018116097,0.7373647671260398,0.1479048553809928,0.8001177856301531,0.26574602926218605,0.3989780335956772,0.27267269397425187,0.7445333386217974
hist_gbdt_tuned_04,5.231,0.141388104973226,0.04,420,21,120,2.0,balanced,0.141388104973226,0.9984743915728297,0.29542218138242704,0.4559429076146679,0.6805483887478811,0.899182438694515,0.141388104973226,0.8015424872607079,0.21389981256201993,0.33768494342906874,0.2450323852159519,0.7407946529003105,0.141388104973226,0.8005889281507657,0.2726980942828485,0.40682328295675596,0.2589128150962041,0.7371486253671347
hist_gbdt_tuned_05,7.025,0.1550814490843269,0.03,520,21,160,3.0,balanced,0.1550814490843269,0.9974754812931348,0.2982600006516852,0.45920952516325386,0.681879975237738,0.8967817937337733,0.1550814490843269,0.8027819859523482,0.21423058546804366,0.338207136640557,0.23954511521477212,0.7368803309398114,0.1550814490843269,0.802002355712603,0.27150205351090556,0.40567189966933775,0.26515895501973663,0.7381285491697515
