fold,train_start,train_end,val_start,val_end,test_start,test_end,threshold,val_threshold,val_recall,val_precision,val_f1,val_auc_pr,val_auc_roc,val_top15_precision_at_k,val_top15_recall_at_k,val_top15_lift_vs_random,val_top15_alerts_per_day,test_threshold,test_recall,test_precision,test_f1,test_auc_pr,test_auc_roc,test_top15_precision_at_k,test_top15_recall_at_k,test_top15_lift_vs_random,test_top15_alerts_per_day
1,2025-01-01 03:03:43+00:00,2025-03-31 19:00:00+00:00,2025-03-31 19:00:00+00:00,2025-04-18 19:00:00+00:00,2025-04-18 19:00:00+00:00,2025-05-06 06:00:00+00:00,0.3061276270978257,0.3061276270978257,0.8114166168559473,0.2873776131251654,0.4244342830343534,0.3324016050312179,0.7556232558800194,0.7543859649122807,0.7142857142857143,2.047619047619048,15.0,0.3061276270978257,0.8611583011583012,0.2885232329504295,0.4322313088639975,0.32169610363558077,0.7671173016496344,0.6842105263157895,0.75,2.1657894736842107,15.0
2,2025-01-01 03:03:43+00:00,2025-04-27 06:00:00+00:00,2025-04-27 06:00:00+00:00,2025-05-15 14:49:52+00:00,2025-05-15 14:50:08+00:00,2025-06-02 15:00:00+00:00,0.3607892702697472,0.3607892702697472,0.8059261826373245,0.27970892470531633,0.41528639671413903,0.3118103031631482,0.7724991619703535,0.6877192982456141,0.7871485943775101,2.273064186570845,15.0,0.3607892702697472,0.7626852267624608,0.1914342068188222,0.30604982206405695,0.20311294553299575,0.723569208087062,0.624561403508772,0.726530612244898,2.0470318653777304,15.0
3,2025-01-01 03:03:43+00:00,2025-05-24 08:00:00+00:00,2025-05-24 08:00:00+00:00,2025-06-12 09:00:00+00:00,2025-06-12 09:00:00+00:00,2025-07-01 03:00:00+00:00,0.28530735938189433,0.28530735938189433,0.8040923824959482,0.22832652591612496,0.3556610959272369,0.2826592671391503,0.7651702367401416,0.6366666666666667,0.7609561752988048,2.130677290836654,15.0,0.28530735938189433,0.7889347943236932,0.2464923111460321,0.37562540089801155,0.25154725572462183,0.7408761115680508,0.67,0.7282608695652174,2.0634057971014492,15.0
