split,top_k_tags_per_day,days,selected_alerts,alerts_per_day,tag_day_prevalence,precision_at_k,recall_at_k,lift_vs_random,positives_captured,total_positives
test,3,30,90,3.0,0.3251968503937008,0.6111111111111112,0.13317191283292978,1.879203658864676,55,413
test,5,30,150,5.0,0.3251968503937008,0.6333333333333333,0.23002421307506055,1.9475383373688457,95,413
test,10,30,300,10.0,0.3251968503937008,0.6766666666666666,0.4915254237288136,2.0807909604519774,203,413
test,15,30,450,15.0,0.3251968503937008,0.68,0.7409200968523002,2.091041162227603,306,413
test,20,30,600,20.0,0.3251968503937008,0.615,0.8934624697336562,1.8911622276029056,369,413
