split,budget_pct,selected_rows,alerts_per_day,precision_at_budget,recall_at_budget,lift_vs_random,positives_captured,total_positives
train,0.01,2646,21.0,0.9145880574452003,0.043952052306574646,4.394108920962743,2420,55060
train,0.02,5291,41.992063492063494,0.8629748629748629,0.08292771521976026,4.146134987326414,4566,55060
train,0.05,13227,104.97619047619048,0.8059272699780752,0.1936069742099528,3.872051660668001,10660,55060
train,0.1,26454,209.95238095238096,0.74034172525894,0.3557028695968035,3.5569480194269603,19585,55060
train,0.2,52907,419.8968253968254,0.6530704821668211,0.6275335997094079,3.1376561374776215,34552,55060
train,0.3,79361,629.8492063492064,0.5573140459419614,0.8032873229204505,2.677597417893404,44229,55060
val,0.01,567,20.25,0.3315696649029982,0.02589175044759675,2.588535742279487,188,7261
val,0.02,1134,40.5,0.30599647266313934,0.04778956066657485,2.388888038752612,347,7261
val,0.05,2835,101.25,0.2656084656084656,0.10370472386723592,2.073582355251547,753,7261
val,0.1,5669,202.46428571428572,0.26689010407479274,0.20837350227241427,2.083587996086448,1513,7261
val,0.2,11338,404.92857142857144,0.25657082377844415,0.400633521553505,2.003026265900686,2909,7261
val,0.3,17006,607.3571428571429,0.23868046571798188,0.5590139099297617,1.8633577853862442,4059,7261
test,0.01,567,19.551724137931036,0.3386243386243386,0.022614840989399292,2.2609655928854986,192,8490
test,0.02,1134,39.10344827586207,0.3368606701940035,0.044994110718492346,2.249189730422553,382,8490
test,0.05,2835,97.75862068965517,0.29171075837742505,0.09740871613663134,1.9477276513711534,827,8490
test,0.1,5669,195.48275862068965,0.2610689715999294,0.17432273262661954,1.7431350757461954,1480,8490
test,0.2,11338,390.9655172413793,0.23628505909331451,0.315547703180212,1.5776550229473167,2679,8490
test,0.3,17007,586.448275862069,0.23960722055624153,0.4799764428739694,1.599836809384177,4075,8490
