model_name,role,estimator,fit_seconds,threshold,eligible_for_selection,threshold_target_met,threshold_target_recall,threshold_achieved_recall,threshold_alert_rate,threshold_degenerate,train_threshold,train_recall,train_precision,train_f1,train_auc_pr,train_auc_roc,train_top15_precision_at_k,train_top15_recall_at_k,train_top15_lift_vs_random,train_top15_alerts_per_day,val_threshold,val_recall,val_precision,val_f1,val_auc_pr,val_auc_roc,val_top15_precision_at_k,val_top15_recall_at_k,val_top15_lift_vs_random,val_top15_alerts_per_day,test_threshold,test_recall,test_precision,test_f1,test_auc_pr,test_auc_roc,test_top15_precision_at_k,test_top15_recall_at_k,test_top15_lift_vs_random,test_top15_alerts_per_day,best_trial_number,best_params
hist_gbdt_optuna,official_candidate,HistGradientBoostingClassifier,3.603,0.4121994032680204,True,True,0.8,0.8010536531262997,0.389998402300687,False,0.4121994032680204,0.8862224321476583,0.39511282458328606,0.5465514923366497,0.6948904705606886,0.8760119245860045,0.9253968253968254,0.856093979441997,2.4758781437195534,15.0,0.4121994032680204,0.8010536531262997,0.26300696435886933,0.3959975327256528,0.4711476820087664,0.827664074405608,0.819047619047619,0.9322493224932249,2.6413730803974707,15.0,0.4121994032680204,0.8302709069493521,0.30565432312895674,0.4468179513184584,0.5753209655853593,0.8483813242756748,0.8133333333333334,0.8861985472154964,2.501049233252623,15.0,12.0,"{""class_weight"": ""balanced"", ""l2_regularization"": 1.0883720830731243, ""learning_rate"": 0.015363954252933477, ""max_iter"": 224, ""max_leaf_nodes"": 19, ""min_samples_leaf"": 151}"
lightgbm_optuna,official_candidate,LGBMClassifier,1.941,0.4105450842895539,True,True,0.8,0.8071537501732982,0.389998402300687,False,0.4105450842895539,0.8932165824946409,0.40462494342262273,0.5569519882646791,0.7096456780874653,0.8838399285204912,0.9227513227513228,0.8536465981399902,2.4688001616048605,15.0,0.4105450842895539,0.8071537501732982,0.2650097865173654,0.39901309026111986,0.47000643341314396,0.8279721866157673,0.819047619047619,0.9322493224932249,2.6413730803974707,15.0,0.4105450842895539,0.8255594817432274,0.3057494329087419,0.44623416311198827,0.575192116250851,0.8482074439081341,0.8088888888888889,0.8813559322033898,2.487382297551789,15.0,22.0,"{""colsample_bytree"": 0.8745701454845844, ""learning_rate"": 0.02367662273324153, ""min_child_samples"": 83, ""n_estimators"": 340, ""num_leaves"": 15, ""reg_alpha"": 2.6582797768956516, ""reg_lambda"": 0.7113492609455474, ""scale_pos_weight"": 3.7994041347236855, ""subsample"": 0.8403753946937046, ""subsample_freq"": 1}"
xgboost_optuna,official_candidate,XGBClassifier,1.448,0.4169776439666748,True,True,0.8,0.8053514487730487,0.3901226678028084,False,0.4169776439666748,0.8715982996039676,0.38856763367186614,0.537508402419897,0.6816469829383551,0.8675390510925344,0.9227513227513228,0.8536465981399902,2.4688001616048605,15.0,0.4169776439666748,0.8053514487730487,0.26433381871132144,0.3980266538764603,0.46310875362990006,0.8271269494450525,0.819047619047619,0.9322493224932249,2.6413730803974707,15.0,0.4169776439666748,0.8321554770318021,0.3043028815092389,0.4456429179676412,0.5732217209760105,0.8490223736491364,0.8333333333333334,0.9079903147699758,2.5625504439063764,15.0,22.0,"{""colsample_bytree"": 0.7745760320148825, ""learning_rate"": 0.015366891791984947, ""max_depth"": 3, ""min_child_weight"": 3.145260239481472, ""n_estimators"": 340, ""reg_alpha"": 1.8734746671865512, ""reg_lambda"": 0.7113492609455474, ""scale_pos_weight"": 3.7994041347236855, ""subsample"": 0.8403753946937046}"
logistic_regression_baseline,diagnostic_baseline,Pipeline,0.821,0.394297844171524,False,True,0.8,0.8061832801885485,0.41999964495570824,False,0.394297844171524,0.885840933037823,0.36731373302298254,0.5192998897757709,0.5510145501721382,0.8362201683858987,0.9063492063492063,0.8384728340675477,2.4249166724937647,15.0,0.394297844171524,0.8061832801885485,0.2457838454710681,0.3767167660015548,0.3719430961583942,0.8054648734016026,0.8023809523809524,0.9132791327913279,2.587624209575429,15.0,0.394297844171524,0.8362779740871613,0.27949454788804473,0.41896556811140945,0.4567768212221618,0.8235227035657113,0.8333333333333334,0.9079903147699758,2.5625504439063764,15.0,,{}
