model_name,trial_number,state,selection_score,params_json,role,estimator,fit_seconds,threshold,eligible_for_selection,train_threshold,train_recall,train_precision,train_f1,train_auc_pr,train_auc_roc,train_top15_precision_at_k,train_top15_recall_at_k,train_top15_lift_vs_random,train_top15_alerts_per_day,val_threshold,val_recall,val_precision,val_f1,val_auc_pr,val_auc_roc,val_top15_precision_at_k,val_top15_recall_at_k,val_top15_lift_vs_random,val_top15_alerts_per_day,test_threshold,test_recall,test_precision,test_f1,test_auc_pr,test_auc_roc,test_top15_precision_at_k,test_top15_recall_at_k,test_top15_lift_vs_random,test_top15_alerts_per_day
lightgbm_optuna,0,COMPLETE,843561.2927974125,"{""colsample_bytree"": 0.7467983561008608, ""learning_rate"": 0.09107372211876884, ""min_child_samples"": 120, ""n_estimators"": 493, ""num_leaves"": 50, ""reg_alpha"": 0.17425083650459838, ""reg_lambda"": 4.450524026952673, ""scale_pos_weight"": 3.7994041347236855, ""subsample"": 0.7468055921327309}",official_candidate,LGBMClassifier,4.619,0.16789448552673508,True,0.16789448552673508,0.9996003342658867,0.37569302198552507,0.5461276587297649,0.910900245077761,0.9761507691849411,0.9391534391534392,0.8688203622124328,2.5126836507159562,15.0,0.16789448552673508,0.8023014002495494,0.23891503591776073,0.3681883251153173,0.43710789946951284,0.8061493148963323,0.7404761904761905,0.8428184281842819,2.387985546522132,15.0,0.16789448552673508,0.8234393404004712,0.28652813639903274,0.425126942138709,0.5410480774129213,0.8300460368088709,0.7511111111111111,0.8184019370460048,2.309712133440947,15.0
lightgbm_optuna,1,COMPLETE,848986.1242661674,"{""colsample_bytree"": 0.7637017332034828, ""learning_rate"": 0.057474929221851684, ""min_child_samples"": 176, ""n_estimators"": 641, ""num_leaves"": 16, ""reg_alpha"": 0.5454749016213019, ""reg_lambda"": 0.22337537071469843, ""scale_pos_weight"": 3.7994041347236855, ""subsample"": 0.9497327922401265}",official_candidate,LGBMClassifier,2.881,0.22507044931565978,True,0.22507044931565978,0.9930966827744069,0.3437724031241746,0.5107444502578669,0.7772883564327776,0.9243340115209653,0.9227513227513228,0.8536465981399902,2.4688001616048605,15.0,0.22507044931565978,0.8011922916955497,0.23858475765832715,0.3676793383171624,0.4437385994288079,0.8079553392550256,0.7452380952380953,0.8482384823848238,2.403342366757001,15.0,0.22507044931565978,0.831095406360424,0.28564488705367985,0.42516268980477223,0.5462536630152587,0.8321449946263468,0.76,0.8280871670702179,2.337046004842615,15.0
lightgbm_optuna,2,COMPLETE,851698.540005465,"{""colsample_bytree"": 0.7418481581956126, ""learning_rate"": 0.040592207502458705, ""min_child_samples"": 73, ""n_estimators"": 448, ""num_leaves"": 36, ""reg_alpha"": 0.8764339456056545, ""reg_lambda"": 0.4979887773003547, ""scale_pos_weight"": 3.7994041347236855, ""subsample"": 0.8835558684167139}",official_candidate,LGBMClassifier,3.464,0.22701565401650914,True,0.22701565401650914,0.9938960142426334,0.34736066843595637,0.5148013625157611,0.7948222524222733,0.9318483689157432,0.9243386243386243,0.8551150269211943,2.4730469508736763,15.0,0.22701565401650914,0.8010536531262997,0.24421995857813095,0.3743197719616481,0.4519743692870665,0.8142880280602341,0.7476190476190476,0.8509485094850948,2.411020776874435,15.0,0.22701565401650914,0.8111896348645465,0.2890903748478361,0.42626806548447993,0.5525530044364431,0.8335998386254512,0.76,0.8280871670702179,2.337046004842615,15.0
lightgbm_optuna,3,COMPLETE,838136.4613350045,"{""colsample_bytree"": 0.7139351238159993, ""learning_rate"": 0.06652801978791024, ""min_child_samples"": 107, ""n_estimators"": 546, ""num_leaves"": 24, ""reg_alpha"": 1.822634555704315, ""reg_lambda"": 0.21111677952516889, ""scale_pos_weight"": 3.7994041347236855, ""subsample"": 0.8777243706586128}",official_candidate,LGBMClassifier,3.102,0.20942405667494576,True,0.20942405667494576,0.9961668422773681,0.34996075027602447,0.5179587692162373,0.813377882053777,0.9405948932244119,0.9275132275132275,0.8580518844836026,2.4815405294113075,15.0,0.20942405667494576,0.8003604602800499,0.23833704896375196,0.3672975982185462,0.4368239917636421,0.8052764377934261,0.7357142857142858,0.8373983739837398,2.372628726287263,15.0,0.20942405667494576,0.8202591283863369,0.2853630552368464,0.42342068462333554,0.5312029580048958,0.8271344671339629,0.7511111111111111,0.8184019370460048,2.309712133440947,15.0
lightgbm_optuna,4,COMPLETE,848986.1242615385,"{""colsample_bytree"": 0.7293016342019151, ""learning_rate"": 0.0907582989269505, ""min_child_samples"": 152, ""n_estimators"": 292, ""num_leaves"": 62, ""reg_alpha"": 2.052699079536471, ""reg_lambda"": 0.6880972205390068, ""scale_pos_weight"": 3.7994041347236855, ""subsample"": 0.7913841307520112}",official_candidate,LGBMClassifier,3.37,0.20789215552741167,True,0.20789215552741167,0.9981833375722123,0.38652447345836205,0.557261663286004,0.8812405963332245,0.9667526535829176,0.9343915343915344,0.8644150758688204,2.499943282909509,15.0,0.20789215552741167,0.8056287259115485,0.24561477661777759,0.37645763151075406,0.4391097782428797,0.810524767673986,0.7452380952380953,0.8482384823848238,2.403342366757001,15.0,0.20789215552741167,0.8243816254416961,0.28959781529294937,0.4286239206320044,0.5405261127620914,0.8294184182083157,0.7555555555555555,0.8232445520581114,2.323379069141781,15.0
lightgbm_optuna,5,COMPLETE,889672.3602501323,"{""colsample_bytree"": 0.8987566853061946, ""learning_rate"": 0.038377072590747206, ""min_child_samples"": 167, ""n_estimators"": 329, ""num_leaves"": 16, ""reg_alpha"": 0.9351332282682329, ""reg_lambda"": 0.9766439040435948, ""scale_pos_weight"": 3.7994041347236855, ""subsample"": 0.777633994480005}",official_candidate,LGBMClassifier,1.706,0.3028418751331654,True,0.3028418751331654,0.9679722413981035,0.35349494467001036,0.517868771200031,0.7245518694980717,0.893613305974301,0.919047619047619,0.8502202643171806,2.4588909866442905,15.0,0.3028418751331654,0.8016082074032996,0.2566014290152221,0.38875815235661937,0.461772466203736,0.8208881573775768,0.780952380952381,0.8888888888888888,2.5185185185185186,15.0,0.3028418751331654,0.8148409893992933,0.29852420816432207,0.43696311268317334,0.5664602723731775,0.8403787561046663,0.7977777777777778,0.8692493946731235,2.453214958299704,15.0
lightgbm_optuna,6,COMPLETE,870685.450132638,"{""colsample_bytree"": 0.9684482051282947, ""learning_rate"": 0.021300728690991762, ""min_child_samples"": 147, ""n_estimators"": 605, ""num_leaves"": 62, ""reg_alpha"": 1.7936999364332555, ""reg_lambda"": 5.680801652040023, ""scale_pos_weight"": 3.7994041347236855, ""subsample"": 0.9818496824692567}",official_candidate,LGBMClassifier,7.33,0.24832343143624122,True,0.24832343143624122,0.9934781818842423,0.37200016325642143,0.5413107387134133,0.8101324322437574,0.9410851143366535,0.9301587301587302,0.8604992657856094,2.4886185115260004,15.0,0.24832343143624122,0.8029945930957992,0.2507793557325944,0.382196707248672,0.4617127896434841,0.8167940165898979,0.7642857142857142,0.8699186991869918,2.464769647696477,15.0,0.24832343143624122,0.8175500588928151,0.2912715065044062,0.4295173267326733,0.5589621822682452,0.8361229129303471,0.7755555555555556,0.8450363196125908,2.384880279795534,15.0
lightgbm_optuna,7,COMPLETE,914084.1018380189,"{""colsample_bytree"": 0.7814047095321688, ""learning_rate"": 0.02175520862971143, ""min_child_samples"": 79, ""n_estimators"": 307, ""num_leaves"": 17, ""reg_alpha"": 2.486212527455788, ""reg_lambda"": 0.4774563611907041, ""scale_pos_weight"": 3.7994041347236855, ""subsample"": 0.8166031869068445}",official_candidate,LGBMClassifier,1.772,0.3322487896845544,True,0.3322487896845544,0.9463902917559859,0.3589218908249106,0.5204581670321546,0.7077263533987508,0.883598330797728,0.9243386243386243,0.8551150269211943,2.4730469508736763,15.0,0.3322487896845544,0.8064605573270484,0.25185088972593844,0.38383371824480367,0.4701004291992037,0.8248970793924473,0.8023809523809524,0.9132791327913279,2.587624209575429,15.0,0.3322487896845544,0.8318021201413428,0.29553063274188146,0.436114370406966,0.5715515531904761,0.843852479137154,0.8044444444444444,0.8765133171912833,2.473715361850955,15.0
lightgbm_optuna,8,COMPLETE,859835.7871962456,"{""colsample_bytree"": 0.9960660809801551, ""learning_rate"": 0.041997487126877085, ""min_child_samples"": 151, ""n_estimators"": 432, ""num_leaves"": 21, ""reg_alpha"": 2.3167343078899725, ""reg_lambda"": 0.23887671814752645, ""scale_pos_weight"": 3.7994041347236855, ""subsample"": 0.7223651931039312}",official_candidate,LGBMClassifier,2.455,0.23567932308325568,True,0.23567932308325568,0.9897176906587218,0.3383451642352766,0.5042926896998589,0.7537881612637801,0.9116012489568348,0.9227513227513228,0.8536465981399902,2.4688001616048605,15.0,0.23567932308325568,0.8025786773880493,0.2389976054826191,0.3683155718148561,0.449568758317907,0.810053282789313,0.7547619047619047,0.8590785907859079,2.4340560072267388,15.0,0.23567932308325568,0.826266195524146,0.28814951735469296,0.4272879549261459,0.5508115798491517,0.8331824607399765,0.7688888888888888,0.837772397094431,2.364379876244283,15.0
lightgbm_optuna,9,COMPLETE,848986.1242731474,"{""colsample_bytree"": 0.7222133955202271, ""learning_rate"": 0.07046233938230743, ""min_child_samples"": 140, ""n_estimators"": 253, ""num_leaves"": 49, ""reg_alpha"": 1.0753971856328177, ""reg_lambda"": 0.16615340547208615, ""scale_pos_weight"": 3.7994041347236855, ""subsample"": 0.9313811040057837}",official_candidate,LGBMClassifier,2.531,0.23437465333910176,True,0.23437465333910176,0.9951131780692511,0.36359231356410343,0.5325885630113611,0.8174300870702069,0.9422967983473605,0.9259259259259259,0.8565834557023985,2.4772937401424917,15.0,0.23437465333910176,0.8047968944960489,0.24536117333784183,0.376068929774553,0.4507187196435617,0.8132809974380909,0.7452380952380953,0.8482384823848238,2.403342366757001,15.0,0.23437465333910176,0.8212014134275618,0.2897755610972569,0.42838709677419357,0.5495131261921931,0.8326326885707032,0.7688888888888888,0.837772397094431,2.364379876244283,15.0
