fold,model_name,fit_seconds,train_start,train_end,val_start,val_end,test_start,test_end,threshold,val_threshold,val_recall,val_precision,val_f1,val_auc_pr,val_auc_roc,val_top15_precision_at_k,val_top15_recall_at_k,val_top15_lift_vs_random,val_top15_alerts_per_day,test_threshold,test_recall,test_precision,test_f1,test_auc_pr,test_auc_roc,test_top15_precision_at_k,test_top15_recall_at_k,test_top15_lift_vs_random,test_top15_alerts_per_day
1,hist_gbdt_optuna,8.028,2025-01-01 03:03:43+00:00,2025-03-31 14:55:42+00:00,2025-03-31 19:00:00+00:00,2025-04-18 14:57:45+00:00,2025-04-18 19:00:00+00:00,2025-05-06 06:00:00+00:00,0.42163986589866076,0.42163986589866076,0.8055975794251135,0.33165171898355755,0.46986676078708195,0.565866023545252,0.8266428985111481,0.8771929824561403,0.8333333333333334,2.388888888888889,15.0,0.42163986589866076,0.8437065637065637,0.3588884509262909,0.5035719223855832,0.6104840293561511,0.8608681839842626,0.8315789473684211,0.9115384615384615,2.632267206477733,15.0
2,hist_gbdt_optuna,3.275,2025-01-01 03:03:43+00:00,2025-04-27 01:59:33+00:00,2025-04-27 06:00:00+00:00,2025-05-15 10:47:23+00:00,2025-05-15 14:50:08+00:00,2025-06-02 15:00:00+00:00,0.44790700840595193,0.44790700840595193,0.8012237762237763,0.35978960590359554,0.496586845812114,0.6128299243654253,0.8721883588362473,0.8245614035087719,0.9475806451612904,2.7363469156762874,15.0,0.44790700840595193,0.6930848675348001,0.24668371424005114,0.36386138613861385,0.4145523588687624,0.8058922102576652,0.7929824561403509,0.9224489795918367,2.5990404582885787,15.0
3,hist_gbdt_optuna,4.025,2025-01-01 03:03:43+00:00,2025-05-24 03:59:11+00:00,2025-05-24 08:00:00+00:00,2025-06-12 04:57:56+00:00,2025-06-12 09:00:00+00:00,2025-07-01 03:00:00+00:00,0.4085994605780677,0.4085994605780677,0.8082415340677275,0.270961564765422,0.40585945502970705,0.5189950329013057,0.8384348237426295,0.7733333333333333,0.928,2.5984,15.0,0.4085994605780677,0.8232441171187354,0.30216918309487706,0.44207581749782965,0.5644679116232355,0.8460066249189085,0.8333333333333334,0.9057971014492754,2.566425120772947,15.0
