threshold,recall,precision,f1,auc_pr,auc_roc,predicted_positive_rate,false_positive,false_negative
5.677327196340233e-05,1.0,0.12809159228028086,0.22709431247752046,0.2450323852159519,0.7407946529003105,1.0,49425,0
6.463062120908215e-05,1.0,0.12858154772445546,0.2278639908364846,0.2450323852159519,0.7407946529003105,0.9961895353350033,49209,0
6.861025990709323e-05,1.0,0.13032864860983973,0.2306031060437641,0.2450323852159519,0.7407946529003105,0.9828352679673994,48452,0
7.362860868921918e-05,1.0,0.13186234450195225,0.23300067387607099,0.2450323852159519,0.7407946529003105,0.9714038739724095,47804,0
7.753752929589296e-05,1.0,0.13333455754081203,0.2352960238504164,0.2450323852159519,0.7407946529003105,0.9606781215820485,47196,0
0.00011522278401182095,1.0,0.13479996287013832,0.23757484540130222,0.2450323852159519,0.7407946529003105,0.9502346258335391,46604,0
0.00011986851364940664,1.0,0.1362570136425904,0.23983484723369117,0.2450323852159519,0.7407946529003105,0.9400733867268815,46028,0
0.00012619419999128765,1.0,0.13773023008782412,0.2421140380126709,0.2450323852159519,0.7407946529003105,0.930017993860918,45458,0
0.00013320728902698078,1.0,0.13919828230738263,0.24437937533656434,0.2450323852159519,0.7407946529003105,0.9202095755565748,44902,0
0.0001424047114404071,1.0,0.14066798403657638,0.24664141714363355,0.2450323852159519,0.7407946529003105,0.9105952086935045,44357,0
0.000362865067685828,1.0,0.1423251073171688,0.24918494114417103,0.2450323852159519,0.7407946529003105,0.8999929435839538,43756,0
0.0005143356554413364,1.0,0.14384199370035064,0.2515067544163492,0.2450323852159519,0.7407946529003105,0.8905020640016935,43218,0
0.000578923032635541,1.0,0.1454964432421601,0.25403211699261796,0.2450323852159519,0.7407946529003105,0.8803761069752672,42644,0
0.0006153285762499211,1.0,0.14710589760732593,0.2564818085482162,0.2450323852159519,0.7407946529003105,0.8707440990720813,42098,0
0.0006774794645862383,1.0,0.14889166854635308,0.25919183265510104,0.2450323852159519,0.7407946529003105,0.8603006033235719,41506,0
0.0014467352069826556,0.9998622779231511,0.15067554946765457,0.26188586682057574,0.2450323852159519,0.7407946529003105,0.8499982358959884,40923,1
0.001885744745257108,0.9991736675389065,0.15236475134408603,0.264409497603732,0.2450323852159519,0.7407946529003105,0.8399957661503722,40361,6
0.002124135005941092,0.9977964467704173,0.15398839507747242,0.2668016939790094,0.2450323852159519,0.7407946529003105,0.829993296404756,39804,16
0.0023213728584217767,0.996556948078777,0.15567316380534402,0.26928158085704185,0.2450323852159519,0.7407946529003105,0.8199908266591398,39246,25
0.002530918353135438,0.99490428315659,0.1573342045083306,0.2717015194824733,0.2450323852159519,0.7407946529003105,0.8099883569135237,38691,37
0.0027877978593571356,0.9940779506954965,0.1591655824825244,0.2743965025660521,0.2450323852159519,0.7407946529003105,0.8000035282080231,38131,43
0.003120080313587267,0.9938025065417987,0.16112537680026795,0.27729316373976864,0.2450323852159519,0.7407946529003105,0.7900539815827541,37569,45
0.003639548693955399,0.9929761740807052,0.16306683252289947,0.28013054627399175,0.2450323852159519,0.7407946529003105,0.7799985887167907,37005,51
0.004411118488951074,0.9909103429279713,0.16483768242113223,0.28265566686309174,0.2450323852159519,0.7407946529003105,0.7700137600112903,36454,66
0.005471452899669694,0.9885690676215397,0.16661637380747893,0.28516944102339997,0.2450323852159519,0.7407946529003105,0.7599936492255583,35903,83
0.00671701126513308,0.9877427351604462,0.16869737027802606,0.2881767955801105,0.2450323852159519,0.7407946529003105,0.7499911794799421,35342,89
0.008104741633254224,0.9877427351604462,0.17097358634499857,0.29149139385071837,0.2450323852159519,0.7407946529003105,0.7400063507744417,34776,89
0.009942361235497616,0.9877427351604462,0.17329113006499625,0.2948528202598257,0.2450323852159519,0.7407946529003105,0.7301097272695198,34215,89
0.016706833712477377,0.9876050130835973,0.17569090552724423,0.2983131226990037,0.2450323852159519,0.7407946529003105,0.7200366933634407,33645,90
0.02155683388894273,0.9851260157003168,0.17767897063937602,0.30105852395883753,0.2450323852159519,0.7407946529003105,0.7101929929788661,33105,108
0.02449858635592951,0.9807189092411513,0.17946068548387098,0.30340214311582625,0.2450323852159519,0.7407946529003105,0.6999964717919769,32559,140
0.026575209286886666,0.9754854703208924,0.18109068596118938,0.3054728942942166,0.2450323852159519,0.7407946529003105,0.6899940020463606,32030,178
0.028337212982149987,0.9708029197080292,0.18287241218284647,0.3077695548715262,0.2450323852159519,0.7407946529003105,0.6799915323007445,31497,212
0.03061231461317508,0.9657072028646192,0.18462834724452987,0.30999115826702034,0.2450323852159519,0.7407946529003105,0.6699890625551282,30967,249
0.03307591033735646,0.9589588210990222,0.18611177932804104,0.3117249406813807,0.2450323852159519,0.7407946529003105,0.6600042338496278,30450,298
0.0358350638120383,0.9530367717945186,0.18780871736416435,0.3137823928174666,0.2450323852159519,0.7407946529003105,0.6500017641040116,29926,341
0.03995889907655643,0.9465638341826195,0.18944321940463066,0.31570244137709286,0.2450323852159519,0.7407946529003105,0.6400169353985111,29407,388
0.044533369715728716,0.9385759537253822,0.19083221326164876,0.317175901147232,0.2450323852159519,0.7407946529003105,0.6299968246127792,28897,446
0.04878594302423054,0.9301749070375981,0.19217527386541472,0.318539829269443,0.2450323852159519,0.7407946529003105,0.6199943548671629,28391,507
0.052774564766898624,0.9203966395813249,0.193273179478281,0.3194627022634384,0.2450323852159519,0.7407946529003105,0.6099918851215468,27895,578
0.05709219458636531,0.9095165955102603,0.19416676467129249,0.3200155065054636,0.2450323852159519,0.7407946529003105,0.6000070564160462,27408,657
0.06210593606804539,0.9007023825919295,0.19554492450291525,0.3213285510735518,0.2450323852159519,0.7407946529003105,0.5900045866704301,26905,721
0.06664785796474174,0.8903732268282606,0.19663006782444722,0.3221225710014948,0.2450323852159519,0.7407946529003105,0.5800197579649297,26414,796
0.07219828659894952,0.8821099022173254,0.1982297050540064,0.3237137369857475,0.2450323852159519,0.7407946529003105,0.5699996471791977,25906,856
0.0786884193331428,0.8738465776063903,0.1998802923387097,0.3253429047558005,0.2450323852159519,0.7407946529003105,0.5599971774335815,25399,916
0.08520101860648889,0.865720975072304,0.2016229913076948,0.32707216816691814,0.2450323852159519,0.7407946529003105,0.5499947076879653,24891,975
0.09191624570462616,0.8570444842308222,0.20329957530218884,0.328641968788783,0.2450323852159519,0.7407946529003105,0.5399922379423491,24387,1038
0.09817488023074117,0.8485057154661892,0.20506590334176542,0.3303042487602198,0.2450323852159519,0.7407946529003105,0.5300074092368486,23883,1100
0.10469465448838516,0.8391406142404627,0.20670353156698443,0.3317001469867712,0.2450323852159519,0.7407946529003105,0.5200049394912324,23384,1168
0.11225838900105836,0.8323922324748657,0.20906260809408508,0.3341903735036355,0.2450323852159519,0.7407946529003105,0.5100024697456162,22866,1217
0.1206048206697278,0.8248175182481752,0.21130437850615671,0.3364228738344006,0.2450323852159519,0.7407946529003105,0.5,22354,1272
0.13111885394229902,0.8120093651012257,0.2122695852534562,0.33655849530496335,0.2450323852159519,0.7407946529003105,0.4899975302543838,21880,1365
0.141388104973226,0.8015424872607079,0.21389981256201993,0.33768494342906874,0.2450323852159519,0.7407946529003105,0.4799950605087676,21389,1441
0.15149335268341776,0.7905247211127944,0.2154412040686109,0.3386031146767343,0.2450323852159519,0.7407946529003105,0.4700102318032671,20903,1521
0.16138099513518878,0.7796446770417298,0.21709618039576623,0.33962264150943394,0.2450323852159519,0.7407946529003105,0.4600077620576509,20415,1600
0.17092542273423075,0.7689023550475141,0.2188639303775138,0.3407384803173634,0.2450323852159519,0.7407946529003105,0.45000529231203473,19926,1678
