segment_col,segment_value,top_k_tags_per_day,tag_days,days,selected_alerts,alerts_per_day,tag_day_prevalence,precision_at_k,recall_at_k,lift_vs_random,positives_captured,total_positives,status,recommendation
Tipo,Escavadeira,10,271,30,271,9.033333333333333,0.007380073800738007,0.007380073800738007,1.0,1.0,2,2,inconclusivo_baixa_prevalencia,tratar segmento em trilha separada
Tipo,Caminhao,15,999,30,450,15.0,0.4114114114114114,0.8133333333333334,0.8905109489051095,1.9769343065693432,366,411,ok,usar TopK como canal principal
Tipo,Escavadeira,15,271,30,271,9.033333333333333,0.007380073800738007,0.007380073800738007,1.0,1.0,2,2,inconclusivo_baixa_prevalencia,tratar segmento em trilha separada
turno,tarde,3,1227,29,87,3.0,0.19967400162999185,0.9655172413793104,0.34285714285714286,4.835467980295567,84,245,ok,usar TopK como canal principal
turno,manha,3,1185,28,84,3.0,0.2,0.9642857142857143,0.34177215189873417,4.821428571428571,81,237,ok,usar TopK como canal principal
turno,noite,3,1267,30,90,3.0,0.2533543804262036,0.9333333333333333,0.2616822429906542,3.6839044652128767,84,321,ok,usar TopK como canal principal
turno,manha,5,1185,28,140,5.0,0.2,0.9357142857142857,0.5527426160337553,4.678571428571428,131,237,ok,usar TopK como canal principal
turno,tarde,5,1227,29,145,5.0,0.19967400162999185,0.9310344827586207,0.5510204081632653,4.66277269528501,135,245,ok,usar TopK como canal principal
turno,noite,5,1267,30,150,5.0,0.2533543804262036,0.9333333333333333,0.43613707165109034,3.6839044652128767,140,321,ok,usar TopK como canal principal
turno,manha,10,1185,28,280,10.0,0.2,0.7321428571428571,0.8649789029535865,3.660714285714285,205,237,ok,usar TopK como canal principal
turno,tarde,10,1227,29,290,10.0,0.19967400162999185,0.696551724137931,0.8244897959183674,3.4884447572132298,202,245,ok,usar TopK como canal principal
turno,noite,10,1267,30,300,10.0,0.2533543804262036,0.7666666666666667,0.7165109034267912,3.0260643821391486,230,321,ok,usar TopK como canal principal
turno,manha,15,1185,28,420,15.0,0.2,0.5357142857142857,0.9493670886075949,2.6785714285714284,225,237,ok,usar TopK como canal principal
turno,tarde,15,1227,29,435,15.0,0.19967400162999185,0.5126436781609195,0.9102040816326531,2.5674032371569315,223,245,ok,usar TopK como canal principal
turno,noite,15,1267,30,450,15.0,0.2533543804262036,0.6288888888888889,0.881619937694704,2.4822499134648672,283,321,ok,usar TopK como canal principal
